date,v
1950/5/22,96.87
1950/5/23,95.78
1950/5/24,95.58
1950/5/25,94.87
1950/5/26,94.21
1950/5/29,93.61
1950/5/30,93.97
1950/5/31,94.22
1950/6/1,94.22
1950/6/2,93.94
1950/6/5,94.68
1950/6/6,94.12
1950/6/7,93.39
1950/6/8,92.74
1950/6/9,92.28
1950/6/12,91.47
1950/6/13,90.22
1950/6/14,89.08
1950/6/15,89.22
1950/6/16,89.86
1950/6/19,88.9
1950/6/20,88.9
1950/6/21,89.89
1950/6/22,90.03
1950/6/23,90.59
1950/6/26,92.75
1950/6/27,90.84
1950/6/28,90.16
1950/6/29,88.95
1950/6/30,86.17
1950/7/3,85.65
1950/7/4,85.84
1950/7/5,85.41
1950/7/6,85.25
1950/7/7,85.6
1950/7/10,86.04
1950/7/11,89.26
1950/7/12,93.54
1950/7/13,94.8
1950/7/14,98.4
1950/7/17,109.34
1950/7/18,104.86
1950/7/19,103.21
1950/7/20,103.14
1950/7/21,101.58
1950/7/24,103.16
1950/7/25,103.07
1950/7/26,102.23
1950/7/27,100.88
1950/7/28,100.24
1950/7/31,97.59
1950/8/1,99.51
1950/8/2,99.11
1950/8/3,99.1
1950/8/4,100.52
1950/8/7,103.16
1950/8/8,103.49
1950/8/9,103.04
1950/8/10,103.78
1950/8/11,105.26
1950/8/14,105.33
1950/8/15,106.24
1950/8/16,108.02
1950/8/17,110.15
1950/8/18,112.58
1950/8/21,114.99
1950/8/22,114.82
1950/8/23,114.36
1950/8/24,112.44
1950/8/25,111.39
1950/8/28,112.06
1950/8/29,113.24
1950/8/30,114.59
1950/8/31,114.55
1950/9/1,113.46
1950/9/4,111.25
1950/9/5,111.48
1950/9/6,112.06
1950/9/7,110.82
1950/9/8,108.39
1950/9/11,108.26
1950/9/12,108.23
1950/9/13,108.52
1950/9/14,109.48
1950/9/15,110.35
1950/9/18,109.28
1950/9/19,108.46
1950/9/20,107.24
1950/9/21,108.22
1950/9/22,107.22
1950/9/25,104.95
1950/9/26,105.52
1950/9/27,105.41
1950/9/28,103.81
1950/9/29,103.58
1950/10/2,103.52
1950/10/3,103.65
1950/10/4,105.44
1950/10/5,107.28
1950/10/6,106.54
1950/10/9,105.95
1950/10/10,106.21
1950/10/11,106.78
1950/10/12,105.99
1950/10/13,106.5
1950/10/16,107.23
1950/10/17,106.72
1950/10/18,107.25
1950/10/19,107.44
1950/10/20,106.78
1950/10/23,106.35
1950/10/24,105.97
1950/10/25,106.15
1950/10/26,106.33
1950/10/27,105.88
1950/10/30,105.39
1950/10/31,106.16
1950/11/1,108.55
1950/11/2,111.02
1950/11/6,111.21
1950/11/7,110.55
1950/11/8,109.49
1950/11/9,109.49
1950/11/10,110.14
1950/11/13,110.5
1950/11/14,111.26
1950/11/15,110.64
1950/11/16,111.08
1950/11/17,111.42
1950/11/20,110.31
1950/11/21,109.96
1950/11/22,109.91
1950/11/24,109.97
1950/11/27,112.93
1950/11/28,112.23
