ok	ng
1.115632418	-2.499152255
0.434045439	-3.380807053
-0.315361139	-4.075957952
-1.017293998	-4.686334351
-1.570023737	-5.10681587
-2.105798576	-5.16446253
-2.600881655	-5.00847745
-2.973889454	-4.696507291
-3.126483554	-3.953882672
-3.173957274	-2.875551034
-3.282468633	-1.627670397
-3.513055273	-0.278060359
-3.526619193	0.922346558
-3.519837233	1.932858596
-3.404543913	2.638182435
-3.445235673	2.963716514
-3.499491353	2.939979654
-3.509664293	2.607663615
-3.394370973	1.959986436
-3.333333333	0.963038318
-3.475754493	-0.2373686
-3.767378772	-1.627670397
-4.048830112	-3.075618854
-4.282807731	-4.482875551
-4.665988471	-5.676500509
-5.11698881	-6.588674127
-5.496778569	-7.212614446
-5.571380129	-7.507629705
-5.493387589	-7.388945405
-5.357748389	-6.822651746
-5.24584605	-5.805357748
-4.90674805	-4.520176331
-4.272634791	-3.234994914
-3.546965073	-1.976941336
-2.923024754	-0.783316378
-2.231264836	0.288233299
-1.485249237	1.061376738
-0.769752458	1.498813157
-0.1017294	1.651407257
0.383180739	1.586978637
0.725669719	1.315700237
1.054594778	0.827399118
1.278399457	0.09155646
1.288572397	-0.718887759
1.068158698	-1.363173957
0.661241099	-1.966768396
0.21702272	-2.597490675
-0.359443879	-3.251949813
-1.047812818	-3.760596812
-1.841302136	-3.886063072
-2.689047135	-3.784333672
-3.489318413	-3.608002713
-4.306544591	-3.333333333
-5.12377077	-2.970498474
-5.839267548	-2.597490675
-6.466598847	-2.360122075
-6.927772126	-2.302475415
-7.226178366	-2.278738555
-7.416073245	-2.390640895
-7.463546965	-2.461851475
-7.507629705	-2.566971855
-7.466937945	-2.750084774
-7.280434045	-2.889114954
-7.039674466	-3.045100034
-6.714140387	-3.299423533
-6.388606307	-3.360461173
-6.080027128	-3.190912174
-5.662936589	-2.916242794
-5.24584605	-2.560189895
-4.81858257	-2.105798576
-4.381146151	-1.624279417
-3.886063072	-1.163106138
-3.536792133	-0.915564598
-3.296032553	-0.871481858
-2.953543574	-0.966429298
-2.655137335	-1.156324178
-2.322821295	-1.634452357
-2.007460156	-2.302475415
-1.780264496	-3.001017294
-1.627670397	-3.543574093
-1.488640217	-3.987792472
-1.519159037	-4.214988132
-1.797219396	-4.164123432
-1.919294676	-4.052221092
-2.126144456	-3.845371312
-2.404204815	-3.584265853
-2.916242794	-3.245167854
-3.499491353	-2.628009495
-3.916581892	-1.746354697
-4.479484571	-0.610376399
-5.14411665	0.576466599
-5.913869108	2.034587996
-6.493726687	3.431671753
-6.992200746	4.499830451
-7.395727365	5.23567311
-7.802644964	5.422177009
-8.148524924	5.23228213
-8.131570024	4.713462191
-7.931502204	4.042048152
-7.392336385	3.194303154
-6.778569006	2.346558155
-6.056290268	1.488640217
-5.24245507	0.501865039
-4.299762631	-0.545947779
-3.248558834	-1.580196677
-2.119362496	-2.624618515
-0.979993218	-3.594438793
0.17633096	-4.411664971
1.363173957	-4.78467277
2.502543235	-4.727026111
3.550356053	-4.364191251
4.357409291	-3.865717192
5.02543235	-3.197694134
5.591726009	-2.373685995
5.981688708	-1.505595117
6.137673788	-0.698541879
6.069854188	-0.07799254
5.788402848	0.508646999
5.361139369	1.020684978
4.77110885	1.468294337
3.903017972	1.841302136
2.838250254	2.143099356
1.685317057	2.302475415
0.525601899	2.258392675
-0.674805019	1.946422516
-1.976941336	1.529331977
-3.248558834	1.091895558
-4.384537131	0.623940319
-5.22889115	0.05764666
-5.825703628	-0.528992879
-6.236012208	-1.007121058
-6.324177687	-1.268226517
-6.086809088	-1.264835537
-5.496778569	-1.102068498
-4.80162767	-0.817226178
-3.763987792	-0.454391319
-2.400813835	-0.11190234
-0.885045778	0.23397762
0.569684639	0.491692099
2.146490336	0.851135978
3.743641913	1.288572397
5.381485249	1.688708037
6.785350966	2.021024076
7.880637504	2.332994235
8.857239742	2.577144795
9.694811801	2.641573415
10.2373686	2.668701255
10.39674466	2.624618515
10.27806036	2.522889115
